,n,m,k_avg,edge_length_total,edge_length_avg,streets_per_node_avg,intersection_count,street_length_total,street_segment_count,street_length_avg,circuity_avg,self_loop_proportion
"New York, NY",26281.0,77285.0,5.881435257410296,2386305.66800001,30.876698816070515,3.3387237928541533,23587.0,1384560.9190000072,43599.0,31.756712745705343,1.020410042954868,0.0006651528704786807
"Los Angeles, CA",11820.0,32715.0,5.535532994923858,1808361.7639999934,55.27622692954282,3.0124365482233504,9963.0,1020813.2140000025,17650.0,57.83644271954688,1.0581328876265288,0.0027195467422096316
"Chicago, IL",23975.0,71007.0,5.923420229405631,2333229.2289999845,32.85914387313905,3.2061730969760167,21013.0,1293731.6460000076,38275.0,33.80095743958217,1.0404042749239801,0.001907250163291966
"Houston, TX",13164.0,35152.0,5.340625949559405,1787322.6510000038,50.845546512289594,3.0448192038893955,11320.0,1045080.7079999964,19860.0,52.62239214501492,1.0567513213764652,0.0025176233635448137
"Phoenix, AZ",13285.0,36991.0,5.568837034249153,1853409.6950000022,50.104341461436626,2.9759879563417386,11340.0,1016759.2110000018,19670.0,51.690859735638114,1.0630610849346647,0.004067107269954245
"Philadelphia, PA",20491.0,53447.0,5.216631691962325,2122733.6740000052,39.716610361666795,3.138987848323654,18024.0,1334801.2350000127,31945.0,41.78435545468814,1.0457464027052048,0.00328689935827203
"San Antonio, TX",10484.0,29353.0,5.599580312857688,1667240.9049999856,56.79967652369385,3.0271842808088514,9198.0,923845.8169999945,15763.0,58.608501998350214,1.0649814506033397,0.005011736344604454
"San Diego, CA",11464.0,31643.0,5.5204117236566645,1508583.7109999955,47.67511648705861,3.076500348918353,9789.0,864451.796999998,17519.0,49.343672412808836,1.0660724401120638,0.002340316228095211
"Dallas, TX",16487.0,46662.0,5.660459756171529,1977196.6880000406,42.37273773091682,3.174319160550737,14758.0,1148143.5520000062,25992.0,44.17295906432772,1.0586979110784247,0.0022314558325638657
"Austin, TX",15929.0,44885.0,5.635633121978781,1942410.558000002,43.275271426980105,3.040806076966539,13681.0,1052180.0959999997,24070.0,43.71334009140007,1.0541084742005007,0.002077274615704196
"Jacksonville, FL",16480.0,50008.0,6.0689320388349515,2172939.141000025,43.45183052711616,3.2354368932038833,14762.0,1188492.990000013,26530.0,44.798077271014435,1.0478795693244678,0.002412363362231436
"San Jose, CA",8217.0,19438.0,4.731167092612876,1286851.9889999945,66.20290096717741,2.776317390775222,6664.0,760799.2850000005,11281.0,67.44076633277196,1.068231541907859,0.0067369914014715005
"Fort Worth, TX",10001.0,28676.0,5.734626537346266,1516877.9720000005,52.89712554052171,3.1363863613638636,8999.0,863140.2530000053,15584.0,55.38630986909685,1.0676674804328203,0.004106776180698152
"Columbus, OH",15919.0,46446.0,5.835291161505119,2113367.6879999763,45.501608060973524,3.0878824046736604,14155.0,1160524.9520000033,24421.0,47.52159829654819,1.0551510510579212,0.0030711273084640268
"Charlotte, NC",2227.0,5230.0,4.69690166142793,517930.5390000007,99.03069579349918,2.5127974854063764,1563.0,270771.8900000002,2734.0,99.03873079736657,1.0816273029230872,0.012435991221653255
"Indianapolis, IN",23739.0,72668.0,6.12224609292725,2879755.2680000435,39.62893251500032,3.2258309111588526,21529.0,1535785.5150000022,38100.0,40.309331102362265,1.0577767539586158,0.003700787401574803
"San Francisco, CA",21282.0,60946.0,5.727469222817405,2295570.188000015,37.665641518721735,3.16802932055258,18543.0,1297455.0290000145,33548.0,38.674586532729656,1.0379386351463065,0.0017884821747943245
"Seattle, WA",34119.0,106879.0,6.265072247135027,3039436.423999974,28.43810686851462,3.273161581523491,31743.0,1600729.235000002,55630.0,28.77456830846669,1.027581431971579,0.0007010605788243754
"Denver, CO",32412.0,100328.0,6.190793533259287,3338179.401999955,33.27265969619603,3.304331728989263,29436.0,1795263.9700000107,53337.0,33.6588853891297,1.0392410121707536,0.0021748504790295668
"Oklahoma City, OK",10160.0,27408.0,5.395275590551181,1467482.3880000077,53.5421186514889,2.961318897637795,8704.0,826450.4569999998,14942.0,55.31056464997991,1.0639232841850939,0.004149377593360996
"Nashville, TN",14687.0,43114.0,5.87104241846531,2036688.1240000047,47.2396002226656,3.094709607135562,12996.0,1091547.6899999988,22543.0,48.42069334161375,1.0816591931446853,0.005057002173623741
