index,city_name,n,m,k_avg,edge_length_total,edge_length_avg,streets_per_node_avg,intersection_count,street_length_total,street_segment_count,street_length_avg,circuity_avg,self_loop_proportion
1,"Paris, France",273798,595231,4.347957,8714885.277,14.641182,2.428619,260195,5129656.021,332037,15.449049,1,0
44,"Warsaw, Poland",266434,598157,4.490095,8426184.432,14.086911,2.381006,250703,4512688.99,316716,14.248377,1,0
6,"Berlin, Germany",219325,498698,4.547571,8218759.644,16.480434,2.448923,202440,4439241.053,268072,16.559883,1,0
4,"Tokyo, Japan",184840,409635,4.43232,7816124.428,19.080705,2.508169,175965,4594667.271,231326,19.862304,1,0
13,"Milan, Italy",217776,453472,4.164573,7329005.246,16.16198,2.378003,212693,4204269.521,258588,16.258564,1,0
21,"Prague, Czech Republic",179164,382446,4.269228,6723091.107,17.579191,2.334844,170504,3719792.195,208719,17.82201,1,0
48,"Washington, United States",172362,376152,4.364674,6636818.759,17.643981,2.404161,165369,3678760.615,206810,17.788118,1,0
12,"Munich, Germany",171974,362299,4.213416,6533661.478,18.033893,2.354984,157810,3740675.516,202068,18.511964,1,0
32,"Zurich, Switzerland",209861,456254,4.348154,6387864.392,14.000676,2.292008,201235,3388340.68,240204,14.106096,1,0
8,"New York City, NY, USA",142619,329563,4.621586,6349582.865,19.266674,2.575982,137605,3649020.027,183249,19.912906,1,0
24,"Melbourne, Australia",146560,306760,4.186135,6258701.532,20.4026,2.418115,140278,3502824.329,176873,19.804178,1,0
10,"London, United Kingdom",203640,421369,4.138372,6248542.98,14.829147,2.249249,190766,3373067.566,228618,14.754164,1,0
3,"Madrid, Spain",160718,323388,4.024291,6127640.898,18.948263,2.35011,155397,3775734.995,188396,20.041482,1,0
9,"Barcelona, Spain",163435,357755,4.377948,5932855.419,16.583571,2.515544,159524,3525490.75,205260,17.175732,1,0
18,"Vienna, Austria",162028,343937,4.245402,5896734.059,17.144809,2.359987,153140,3418117.946,190808,17.913913,1,0
39,"Stockholm, Sweden",150871,322068,4.269449,5673121.472,17.61467,2.318464,144672,3133419.713,174562,17.950182,1,0
16,"Osaka, Japan",82740,195552,4.726904,5450096.282,27.870317,2.606696,78680,3065542.873,107473,28.523842,1,0
30,"Toronto, Canada",122230,277556,4.541536,5336329.996,19.226138,2.383024,117008,2846341.129,145400,19.575936,1,0
40,"Brussels, Belgium",186626,380677,4.079571,5313661.099,13.958451,2.33289,180045,3160835.833,217339,14.543344,1,0
27,"Kyoto, Japan",114713,256537,4.472675,5303025.348,20.671581,2.382032,107703,2910707.546,136372,21.34388,1,0
28,"Taipei, Taiwan",99411,216107,4.347748,5022585.104,23.241196,2.463621,93147,3016736.869,122084,24.710338,1,0
5,"Amsterdam, Netherlands",145281,286861,3.94905,4975282.124,17.343878,2.337828,139154,3024394.571,169544,17.838405,1,0
14,"Seoul, South Korea",109229,231116,4.23177,4956452.025,21.445733,2.270047,102588,2707567.205,123586,21.908365,1,0
15,"Dublin, Ireland",118300,250189,4.229738,4730923.67,18.909399,2.231995,107940,2486742.408,131762,18.872986,1,0
22,"Sydney, Australia",107866,227365,4.215694,4655405.455,20.475471,2.3421,103894,2553287.477,126067,20.253417,1,0
26,"Frankfurt, Germany",115201,235176,4.082881,4646426.172,19.757229,2.337844,108311,2663469.757,134374,19.821318,1,0
